datetime,open,high,low,close
2021-12-03 05:00:00,96.172,96.172,96.156,96.164
2021-12-03 05:15:00,96.163,96.179,96.157,96.16
2021-12-03 05:30:00,96.159,96.165,96.148,96.156
2021-12-03 05:45:00,96.161,96.163,96.131,96.151
2021-12-03 06:00:00,96.154,96.166,96.138,96.146
2021-12-03 06:15:00,96.149,96.166,96.143,96.163
2021-12-03 06:30:00,96.167,96.207,96.162,96.204
2021-12-03 06:45:00,96.208,96.298,96.205,96.297
2021-12-03 07:00:00,96.298,96.305,96.274,96.297
2021-12-03 07:15:00,96.295,96.303,96.271,96.284
2021-12-03 07:30:00,96.289,96.297,96.265,96.272
2021-12-03 07:45:00,96.275,96.295,96.241,96.251
2021-12-03 08:00:00,96.255,96.266,96.223,96.224
2021-12-03 08:15:00,96.227,96.244,96.207,96.229
2021-12-03 08:30:00,96.232,96.282,96.224,96.28
2021-12-03 08:45:00,96.285,96.321,96.257,96.268
2021-12-03 09:00:00,96.268,96.297,96.24,96.251
2021-12-03 09:15:00,96.256,96.281,96.242,96.263
2021-12-03 09:30:00,96.265,96.298,96.253,96.261
2021-12-03 09:45:00,96.264,96.266,96.213,96.214
2021-12-03 10:00:00,96.213,96.243,96.178,96.19
2021-12-03 10:15:00,96.193,96.22,96.165,96.171
2021-12-03 10:30:00,96.169,96.174,96.132,96.145
2021-12-03 10:45:00,96.147,96.186,96.133,96.16
2021-12-03 11:00:00,96.164,96.187,96.141,96.151
2021-12-03 11:15:00,96.155,96.162,96.132,96.153
2021-12-03 11:30:00,96.156,96.211,96.151,96.2
2021-12-03 11:45:00,96.202,96.205,96.156,96.161
2021-12-03 12:00:00,96.166,96.193,96.155,96.159
2021-12-03 12:15:00,96.162,96.169,96.149,96.16
2021-12-03 12:30:00,96.159,96.196,96.158,96.163
2021-12-03 12:45:00,96.164,96.248,96.158,96.229
2021-12-03 13:00:00,96.233,96.285,96.227,96.263
2021-12-03 13:15:00,96.263,96.278,96.18,96.252
2021-12-03 13:30:00,96.256,96.256,95.967,96.076
2021-12-03 13:45:00,96.079,96.24,96.074,96.121
2021-12-03 14:00:00,96.126,96.292,96.118,96.265
2021-12-03 14:15:00,96.267,96.27,96.186,96.202
2021-12-03 14:30:00,96.206,96.288,96.163,96.267
2021-12-03 14:45:00,96.27,96.315,96.247,96.259
2021-12-03 15:00:00,96.262,96.382,96.262,96.382
2021-12-03 15:15:00,96.382,96.427,96.36,96.414
2021-12-03 15:30:00,96.418,96.448,96.363,96.363
2021-12-03 15:45:00,96.363,96.415,96.328,96.349
2021-12-03 16:00:00,96.353,96.37,96.26,96.289
2021-12-03 16:15:00,96.294,96.324,96.245,96.246
2021-12-03 16:30:00,96.246,96.257,96.19,96.213
2021-12-03 16:45:00,96.218,96.247,96.16,96.163
2021-12-03 17:00:00,96.165,96.227,96.151,96.207
2021-12-03 17:15:00,96.207,96.209,96.156,96.166
2021-12-03 17:30:00,96.169,96.169,96.121,96.129
2021-12-03 17:45:00,96.132,96.161,96.122,96.145
2021-12-03 18:00:00,96.148,96.167,96.139,96.153
2021-12-03 18:15:00,96.157,96.167,96.081,96.092
2021-12-03 18:30:00,96.094,96.094,96.033,96.045
2021-12-03 18:45:00,96.045,96.055,96.006,96.023
2021-12-03 19:00:00,96.024,96.04,96.011,96.027
2021-12-03 19:15:00,96.031,96.04,96.013,96.034
2021-12-03 19:30:00,96.037,96.089,96.028,96.078
2021-12-03 19:45:00,96.079,96.118,96.078,96.117
2021-12-03 20:00:00,96.121,96.155,96.102,96.141
2021-12-03 20:15:00,96.144,96.166,96.141,96.148
2021-12-03 20:30:00,96.151,96.18,96.146,96.176
2021-12-03 20:45:00,96.18,96.208,96.148,96.149
2021-12-03 21:00:00,96.153,96.173,96.136,96.157
2021-12-03 21:15:00,96.16,96.169,96.148,96.157
2021-12-03 21:30:00,96.157,96.183,96.153,96.17
2021-12-03 21:45:00,96.173,96.182,96.15,96.151
2021-12-05 22:00:00,96.151,96.151,96.151,96.151
2021-12-05 23:00:00,96.158,96.222,96.148,96.209
2021-12-05 23:15:00,96.213,96.217,96.174,96.183
2021-12-05 23:30:00,96.186,96.197,96.163,96.18
2021-12-05 23:45:00,96.18,96.208,96.168,96.198
2021-12-06 00:00:00,96.198,96.222,96.196,96.217
2021-12-06 00:15:00,96.217,96.229,96.189,96.222
2021-12-06 00:30:00,96.227,96.263,96.222,96.257
2021-12-06 00:45:00,96.257,96.29,96.254,96.272
2021-12-06 01:00:00,96.275,96.298,96.26,96.297
2021-12-06 01:15:00,96.297,96.299,96.27,96.278
2021-12-06 01:30:00,96.281,96.295,96.259,96.264
2021-12-06 01:45:00,96.266,96.271,96.244,96.253
2021-12-06 02:00:00,96.256,96.264,96.236,96.252
2021-12-06 02:15:00,96.251,96.268,96.248,96.262
2021-12-06 02:30:00,96.264,96.265,96.246,96.254
2021-12-06 02:45:00,96.257,96.274,96.252,96.272
2021-12-06 03:00:00,96.275,96.279,96.258,96.272
2021-12-06 03:15:00,96.274,96.291,96.272,96.284
2021-12-06 03:30:00,96.283,96.294,96.273,96.274
2021-12-06 03:45:00,96.275,96.281,96.261,96.264
2021-12-06 04:00:00,96.268,96.274,96.26,96.266
2021-12-06 04:15:00,96.267,96.275,96.26,96.273
2021-12-06 04:30:00,96.274,96.285,96.262,96.272
2021-12-06 04:45:00,96.276,96.294,96.272,96.292
2021-12-06 05:00:00,96.296,96.314,96.289,96.301
2021-12-06 05:15:00,96.301,96.304,96.289,96.301
2021-12-06 05:30:00,96.305,96.314,96.291,96.313
2021-12-06 05:45:00,96.314,96.33,96.3,96.33
2021-12-06 06:00:00,96.33,96.335,96.301,96.308
2021-12-06 06:15:00,96.308,96.33,96.304,96.325
2021-12-06 06:30:00,96.328,96.347,96.315,96.315
2021-12-06 06:45:00,96.321,96.361,96.314,96.358
2021-12-06 07:00:00,96.361,96.371,96.332,96.333
2021-12-06 07:15:00,96.333,96.353,96.323,96.327
2021-12-06 07:30:00,96.327,96.346,96.304,96.341
2021-12-06 07:45:00,96.34,96.376,96.339,96.374
2021-12-06 08:00:00,96.376,96.379,96.288,96.29
2021-12-06 08:15:00,96.289,96.32,96.262,96.264
2021-12-06 08:30:00,96.267,96.298,96.261,96.283
2021-12-06 08:45:00,96.287,96.287,96.245,96.247
2021-12-06 09:00:00,96.25,96.304,96.225,96.231
2021-12-06 09:15:00,96.235,96.256,96.224,96.235
2021-12-06 09:30:00,96.238,96.262,96.232,96.247
2021-12-06 09:45:00,96.251,96.253,96.204,96.217
2021-12-06 10:00:00,96.221,96.222,96.17,96.183
2021-12-06 10:15:00,96.187,96.202,96.14,96.145
2021-12-06 10:30:00,96.149,96.233,96.143,96.223
2021-12-06 10:45:00,96.225,96.225,96.187,96.203
2021-12-06 11:00:00,96.207,96.207,96.171,96.172
2021-12-06 11:15:00,96.175,96.199,96.156,96.182
2021-12-06 11:30:00,96.184,96.206,96.152,96.204
2021-12-06 11:45:00,96.207,96.213,96.182,96.206
2021-12-06 12:00:00,96.21,96.218,96.168,96.176
2021-12-06 12:15:00,96.18,96.221,96.153,96.154
2021-12-06 12:30:00,96.159,96.195,96.154,96.174
2021-12-06 12:45:00,96.178,96.222,96.157,96.216
2021-12-06 13:00:00,96.218,96.263,96.205,96.259
